ind,f_miss_angsd,f_miss_fb,f_miss_gatk,mean_depth_angsd,mean_depth_fb,mean_depth_gatk,f_angsd,f_fb,f_gatk
house_8934547,0.136636,0.0199855,0.0691836,NaN,6.7999,6.21892,-0.40234,-0.20476,0.17757
house_8L19766,0.0854128,0.00589102,0.0408665,NaN,7.8104,7.22922,-0.16869,-0.04009,0.16096
house_8L19786,0.0847386,0.00827586,0.0449975,NaN,8.8055,8.24043,-0.11288,0.01176,0.17262
house_8L52141,0.124998,0.0173404,0.0656527,NaN,7.1048,6.52213,-0.19158,0.00671,0.21402
house_8L52830,0.0849049,0.00731548,0.0440726,NaN,8.26957,7.69542,-0.13398,-0.00227,0.16633
house_8L64869,0.0778534,0.00786542,0.0443181,NaN,9.12175,8.52547,-0.11587,0.02843,0.15926
house_8L89915,0.0864286,0.0103468,0.0468101,NaN,8.78347,8.20321,-0.08753,0.03847,0.195
house_8M31651,0.0650988,0.00560934,0.0360412,NaN,9.39895,8.91341,-0.12265,0.00475,0.12092
house_8M71932,0.0671258,0.00609489,0.0364676,NaN,9.59717,8.99863,-0.15618,-0.04367,0.0949
house_8M72455,0.094382,0.0104273,0.04622,NaN,8.30208,7.69381,-0.08436,0.03914,0.23693
house_8N05240,0.0909861,0.0096574,0.0474226,NaN,8.09812,7.52044,-0.11057,0.04953,0.18294
house_8N05890,0.0920634,0.0123373,0.0523049,NaN,8.69705,8.09973,-0.14261,0.00419,0.15062
house_8N06612,0.0948763,0.0106956,0.0485558,NaN,8.13359,7.55937,-0.1278,0.05767,0.1827
house_8N73248,0.0626754,0.00544034,0.0335863,NaN,9.28567,8.80653,-0.1758,-0.04146,0.07286
house_8N73604,0.056084,0.00367786,0.0299711,NaN,10.0858,9.482,-0.08174,0.04797,0.11586
italian_Guglionesi_336,0.0532574,0.00201732,0.0262318,NaN,9.91176,9.45108,-0.06187,0.03533,0.11853
italian_Guglionesi_426,0.0405666,0.00147275,0.0237795,NaN,11.3491,10.9517,-0.03679,0.05542,0.0992
italian_Guglionesi_427,0.0592795,0.00188319,0.0279055,NaN,9.40264,8.9796,-0.05647,0.05511,0.14935
italian_Guglionesi_428,0.0534738,0.00212195,0.0285949,NaN,9.82662,9.33629,-0.03514,0.03967,0.13503
italian_Guglionesi_429,0.0392797,0.00162298,0.02371,NaN,10.6975,10.1201,-0.0679,0.02481,0.08963
italian_Guglionesi_431,0.0363439,0.00156396,0.0226835,NaN,11.6081,11.0185,-0.0029,0.0889,0.13489
italian_Guglionesi_432,0.0492101,0.00170078,0.0258747,NaN,9.6698,9.21719,-0.04437,0.05714,0.135
italian_Guglionesi_433,0.0375875,0.00165517,0.0220809,NaN,11.0291,10.6031,-0.04661,0.05482,0.09684
italian_Guglionesi_434,0.0348976,0.00136008,0.0214015,NaN,11.1452,10.649,-0.04534,0.05478,0.07426
italian_Guglionesi_435,0.0420971,0.00159347,0.0232836,NaN,10.8222,10.4217,0.00314,0.09875,0.1525
spanish_Lesina_280,0.026434,0.0011723,0.0179797,NaN,14.0221,13.4127,0.11691,0.20118,0.19296
spanish_Lesina_281,0.0431243,0.00139496,0.0220338,NaN,11.0302,10.5399,0.09518,0.17924,0.21867
spanish_Lesina_282,0.0412225,0.00147544,0.0221776,NaN,10.7779,10.2589,0.12245,0.20752,0.24789
spanish_Lesina_285,0.0509889,0.00186442,0.0264103,NaN,9.76877,9.3498,0.13146,0.22343,0.2957
spanish_Lesina_286,0.044377,0.00173297,0.0239754,NaN,10.8735,10.2955,0.11946,0.2046,0.25101
spanish_Lesina_287,0.0382935,0.00154518,0.022743,NaN,11.4073,10.713,0.11078,0.19709,0.23931
spanish_Lesina_288,0.0469371,0.00191539,0.0260359,NaN,10.2451,9.70428,0.12328,0.21308,0.27283
spanish_Lesina_289,0.0497363,0.00194489,0.0267848,NaN,9.95166,9.46517,0.12251,0.21117,0.27163
spanish_Lesina_292,0.0411724,0.0015586,0.023782,NaN,11.164,10.7393,0.11195,0.20016,0.23376
spanish_Lesina_295,0.0365443,0.00155323,0.0215106,NaN,10.8574,10.3095,0.11327,0.20436000000000001,0.22742
